Year,Month,"forecast_sales_new_stores "
2016,1,743451.948213134
2016,2,721007.052636368
2016,3,845552.707464543
2016,4,802135.999883492
2016,5,913466.251314653
2016,6,922654.975423238
2016,7,931766.490788848
2016,8,822318.800699343
2016,9,726181.308137812
2016,10,710684.284642409
2016,11,741788.758528557
2016,12,744048.231940037
